guide_id,disaster_type,title,content,easy_content,keywords,source
35,태풍,태풍 이후 행동요령,- 침수된 도로나 교량은 파손되었을 수 있으므로 건너지 않습니다.,침수된 도로나 교량은 파손되었을 수 있으므로 건너지 않습니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
36,태풍,태풍 이후 행동요령,- 침수된 음식이나 재료는 식중독의 위험이 있으므로 사용하지 않습니다.,침수된 음식이나 재료는 식중독의 위험이 있으므로 사용하지 않습니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
37,태풍,태풍 이후 행동요령,"- 침수된 주택은 가스와 전기차단기가 내려가 있는지 확인하고, 한국가스안전공사(1544-4500)와 한국전기안전공사(1588-7500) 또는 전문가의 안전점검 후에 사용합니다.","침수된 주택은 가스와 전기차단기가 내려가 있는지 확인하고, 한국가스안전공사(1544-4500)와 한국전기안전공사(1588-7500) 또는 전문가의 안전점검 후에 사용합니다.",태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
38,태풍,태풍 특보 중 행동요령,"- 침수지역, 산간·계곡 등 위험지역에 있거나 대피 권고를 받았을 경우에는 주변에 있는 사람들과 함께 즉시 안전한 지역으로 대피합니다.","침수지역, 산간·계곡 등 위험지역에 있거나 대피 권고를 받았을 경우에는 주변에 있는 사람들과 함께 즉시 안전한 지역으로 대피합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
39,태풍,태풍 이후 행동요령,"- 태풍으로 피해를 입은 주택 등은 가스가 누출될 수 있으므로 창문을 열어 충분히 환기하고, 성냥불이나 라이터는 환기 전까지 사용하지 않습니다.","태풍으로 피해를 입은 주택 등은 가스가 누출될 수 있으므로 창문을 열어 충분히 환기하고, 성냥불이나 라이터는 환기 전까지 사용하지 않습니다.",태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
40,태풍,태풍 특보 중 행동요령,"- 특히, 주변에 연세가 많거나 홀로계신 어르신, 어린이, 장애인 등 대피에 어려움이 있는 분들은 안전하게 대피할 수 있도록 돕습니다.","특히, 주변에 연세가 많거나 홀로계신 어르신, 어린이, 장애인 등 대피에 어려움이 있는 분들은 안전하게 대피할 수 있도록 돕습니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
41,태풍,태풍 특보 중 행동요령,"- 특히, 침수된 도로, 지하차도, 교량 등에서는 차량의 통행을 엄격히 금지합니다.","특히, 침수된 도로, 지하차도, 교량 등에서는 차량의 통행을 엄격히 금지합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
42,태풍,태풍 이후 행동요령,- 파손된 사유시설을 보수 또는 복구할 때에는 반드시 사진을 찍어 둡니다.,파손된 사유시설을 보수 또는 복구할 때에는 반드시 사진을 찍어 둡니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
43,태풍,태풍 이후 행동요령,"- 파손된 시설물(주택, 상하수도, 축대, 도로 등)은 가까운 시·군·구청이나 행정복지센터(주민센터)에 신고합니다.","파손된 시설물(주택, 상하수도, 축대, 도로 등)은 가까운 시·군·구청이나 행정복지센터(주민센터)에 신고합니다.",태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
44,태풍,태풍 이후 행동요령,- 하천 제방은 무너질 수 있으니 가까이 가지 않습니다.,하천 제방은 무너질 수 있으니 가까이 가지 않습니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
45,태풍,태풍 예보시 행동요령,"- 하천이나 해변, 저지대에 주차된 차량은 안전한 곳으로 이동합니다.","하천이나 해변, 저지대에 주차된 차량은 안전한 곳으로 이동합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
46,태풍,태풍 이후 행동요령,1. 가족과 지인의 안전 여부를 주위 사람들과 함께 확인합니다,1. 가족과 지인의 안전 여부를 주위 사람들과 함께 확인합니다,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
47,태풍,태풍 특보 중 행동요령,"1. 나와 가족, 지인들의 안전을 위해 외출은 자제하고 정보를 지속적으로 청취하며 정보가 필요한 사람들과 공유합니다.","1. 나와 가족, 지인들의 안전을 위해 외출은 자제하고 정보를 지속적으로 청취하며 정보가 필요한 사람들과 공유합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
48,태풍,태풍 예보시 행동요령,1. 태풍의 진로 및 도달 시간을 파악해서 어떻게 대피할지를 생각합니다.,1. 태풍의 진로 및 도달 시간을 파악해서 어떻게 대피할지를 생각합니다.,태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
49,태풍,태풍 특보 중 행동요령,"2. 건물, 집안 등 실내에서의 안전수칙을 미리 알아두고 가족과 함께 확인합니다.","2. 건물, 집안 등 실내에서의 안전수칙을 미리 알아두고 가족과 함께 확인합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
50,태풍,태풍 예보시 행동요령,"2. 산간·계곡, 하천, 방파제 등 위험지역에서는 주변에 있는 사람들과 함께 안전한 곳으로 이동합니다.","2. 산간·계곡, 하천, 방파제 등 위험지역에서는 주변에 있는 사람들과 함께 안전한 곳으로 이동합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
51,태풍,태풍 이후 행동요령,2. 태풍으로 인한 피해 여부를 주변에 있는 사람들과 함께 확인합니다.,2. 태풍으로 인한 피해 여부를 주변에 있는 사람들과 함께 확인합니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
52,태풍,태풍 특보 중 행동요령,"3. 위험지역은 접근하지 말고, 즉시 안전한 지역으로 주변에 있는 사람들과 함께 대피합니다.","3. 위험지역은 접근하지 말고, 즉시 안전한 지역으로 주변에 있는 사람들과 함께 대피합니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
53,태풍,태풍 이후 행동요령,3. 주변에 있는 사람들과 함께 태풍으로 인한 2차 피해를 방지합니다.,3. 주변에 있는 사람들과 함께 태풍으로 인한 2차 피해를 방지합니다.,태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
54,태풍,태풍 예보시 행동요령,"3. 주택이나 차량, 시설물 등의 보호를 위해 가족이나 지역주민과 함께 준비합니다.","3. 주택이나 차량, 시설물 등의 보호를 위해 가족이나 지역주민과 함께 준비합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
55,태풍,태풍 예보시 행동요령,4. 가족과 함께 비상용품을 준비하여 재난에 대비합니다.,4. 가족과 함께 비상용품을 준비하여 재난에 대비합니다.,태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
56,태풍,태풍 예보시 행동요령,5. 외출은 자제하고 연세 많은 어르신 등은 수시로 안부를 확인합니다.,5. 외출은 자제하고 연세 많은 어르신 등은 수시로 안부를 확인합니다.,태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
57,태풍,태풍 예보시 행동요령,"TV, 라디오, 스마트폰 등에서 태풍이 예보된 때에는 거주 지역에 영향을 주는 시기를 미리 파악하여 이웃과 공유하고, 어떻게 대피할지 생각하고 가족이나 주변에 있는 사람들과 함께 조치를 취하도록 합니다.","TV, 라디오, 스마트폰 등에서 태풍이 예보된 때에는 거주 지역에 영향을 주는 시기를 미리 파악하여 이웃과 공유하고, 어떻게 대피할지 생각하고 가족이나 주변에 있는 사람들과 함께 조치를 취하도록 합니다.",태풍 태풍 태풍 예보시 행동요령 태풍,자연재난 국민행동요령
58,태풍,태풍,태풍 대비 국민 행동요령(20초 스팟),태풍 대비 국민 행동요령(20초 스팟),태풍 태풍  태풍,자연재난 국민행동요령
59,태풍,태풍,태풍 대비 국민 행동요령(40초 스팟),태풍 대비 국민 행동요령(40초 스팟),태풍 태풍  태풍,자연재난 국민행동요령
60,태풍,태풍 특보 중 행동요령,"태풍이 시작된 때에는 이웃과 함께 신속히 안전한 곳으로 대피하고, 외출을 삼가하며 이웃이나 가족에게 연락하여 안전 여부를 확인하고 위험상황을 알려줍니다.","태풍이 시작된 때에는 이웃과 함께 신속히 안전한 곳으로 대피하고, 외출을 삼가하며 이웃이나 가족에게 연락하여 안전 여부를 확인하고 위험상황을 알려줍니다.",태풍 태풍 태풍 특보 중 행동요령 태풍,자연재난 국민행동요령
61,태풍,태풍 이후 행동요령,"태풍이 지나간 후에는 이웃들과 함께 피해 상황을 확인하고, 가까운 행정복지센터 등에 피해를 신고하여 보수·보강을 하도록 합니다.","태풍이 지나간 후에는 이웃들과 함께 피해 상황을 확인하고, 가까운 행정복지센터 등에 피해를 신고하여 보수·보강을 하도록 합니다.",태풍 태풍 태풍 이후 행동요령 태풍,자연재난 국민행동요령
62,호우/침수,홍수 예·경보시 대비요령,"Q&AQ : 저지대 주택에 침수피해를 당했을 때 주택에 들어가기전 전 행동요령은?A : 침수된 주택은 가스누출, 감전 위험이 있으므로 바로 들어가지 마시고 환기를 시킨 후, 가스-전기차단기가 OFF에 있는지 확인 하시고 전문가의 안전점검을 받아 안전한 경우 사용하시기 바랍니다.","Q&AQ : 저지대 주택에 침수피해를 당했을 때 주택에 들어가기전 전 행동요령은?A : 침수된 주택은 가스누출, 감전 위험이 있으므로 바로 들어가지 마시고 환기를 시킨 후, 가스-전기차단기가 OFF에 있는지 확인 하시고 전문가의 안전점검을 받아 안전한 경우 사용하시기 바랍니다.",호우 홍수 홍수 예·경보시 대비요령 호우/침수,자연재난 국민행동요령
63,호우/침수,물이 밀려들 때는,"TV나 라디오, 인터넷, 스마트폰 등으로 기상변화를 확인합니다.","TV나 라디오, 인터넷, 스마트폰 등으로 기상변화를 확인합니다.",호우 홍수 물이 밀려들 때는 호우/침수,자연재난 국민행동요령
64,호우/침수,물이 빠진 후에는,"가스·전기차단기가 내려가 있는지(off) 확인하고, 기술자의 안전조사가 끝난 후 사용합시다.","가스·전기차단기가 내려가 있는지(off) 확인하고, 기술자의 안전조사가 끝난 후 사용합시다.",호우 홍수 물이 빠진 후에는 호우/침수,자연재난 국민행동요령
65,호우/침수,물이 빠진 후에는,"가스가 새어 나와 집 안에 차 있을 수 있으므로 성냥불이나 라이터불을 사용하지 말고, 창문을 열어 환기를 합시다.","가스가 새어 나와 집 안에 차 있을 수 있으므로 성냥불이나 라이터불을 사용하지 말고, 창문을 열어 환기를 합시다.",호우 홍수 물이 빠진 후에는 호우/침수,자연재난 국민행동요령
66,호우/침수,물이 밀려들 때는,갑작스런 홍수가 발생하면 높은 곳으로 빨리 대피합시다.,갑작스런 홍수가 발생하면 높은 곳으로 빨리 대피합시다.,호우 홍수 물이 밀려들 때는 호우/침수,자연재난 국민행동요령
67,호우/침수,물이 빠진 후에는,"대피했다가 집에 돌아왔을 때는 바로 들어가지 말고, 붕괴가능성을 반드시 점검합시다.","대피했다가 집에 돌아왔을 때는 바로 들어가지 말고, 붕괴가능성을 반드시 점검합시다.",호우 홍수 물이 빠진 후에는 호우/침수,자연재난 국민행동요령
68,호우/침수,물이 밀려들 때는,"만일 둑의 물이 넘치고 하수도로 물이 나온다면 다음과 같이 해야 합니다.  - 시간적 여유가 있다면, 마당에 있는 여러 가지 물건들을 집안으로 옮기고 집주변을 정비합시다.  - 전기차단기를 내리고 가스 밸브를 잠급시다.  - 상수도의 오염에 대비하여 욕조에 물을 받아 둡시다.","만일 둑의 물이 넘치고 하수도로 물이 나온다면 다음과 같이 해야 합니다.  - 시간적 여유가 있다면, 마당에 있는 여러 가지 물건들을 집안으로 옮기고 집주변을 정비합시다.  - 전기차단기를 내리고 가스 밸브를 잠급시다.  - 상수도의 오염에 대비하여 욕조에 물을 받아 둡시다.",호우 홍수 물이 밀려들 때는 호우/침수,자연재난 국민행동요령
69,호우/침수,물이 빠진 후에는,물이 빠져나가고 있을 때 물에서 멀리 떨어지세요. 기름이나 더러운 물로 오염되었을 경우가 많습니다.,물이 빠져나가고 있을 때 물에서 멀리 떨어지세요. 기름이나 더러운 물로 오염되었을 경우가 많습니다.,호우 홍수 물이 빠진 후에는 호우/침수,자연재난 국민행동요령
70,호우/침수,홍수 우려 때는,"바위나 자갈 등이 흘러내리기 쉬운 비탈면 지역의 도로 통행을 삼가고, 만약 도로를 지날 때는 주위를 잘 살핀 후 이동합시다.","바위나 자갈 등이 흘러내리기 쉬운 비탈면 지역의 도로 통행을 삼가고, 만약 도로를 지날 때는 주위를 잘 살핀 후 이동합시다.",호우 홍수 홍수 우려 때는 호우/침수,자연재난 국민행동요령
71,호우/침수,홍수 우려 때는,비탈면이나 산사태가 일어날 수 있는 지역에 가까이 가지 맙시다.,비탈면이나 산사태가 일어날 수 있는 지역에 가까이 가지 맙시다.,호우 홍수 홍수 우려 때는 호우/침수,자연재난 국민행동요령
72,호우/침수,물이 빠진 후에는,수돗물이나 저장식수도 오염 여부를 반드시 조사한 후에 사용합시다.,수돗물이나 저장식수도 오염 여부를 반드시 조사한 후에 사용합시다.,호우 홍수 물이 빠진 후에는 호우/침수,자연재난 국민행동요령
73,호우/침수,홍수 우려 때는,어린이나 노약자는 집 밖으로 나가지 맙시다.,어린이나 노약자는 집 밖으로 나가지 맙시다.,호우 홍수 홍수 우려 때는 호우/침수,자연재난 국민행동요령
74,호우/침수,홍수 우려 때는,"연못, 구덩이 등에 관한 안전표지판을 잘 살펴보아야 합니다.","연못, 구덩이 등에 관한 안전표지판을 잘 살펴보아야 합니다.",호우 홍수 홍수 우려 때는 호우/침수,자연재난 국민행동요령
75,호우/침수,홍수 우려 때는,우물은 오염될 수 있으니 마실 물은 미리 준비해 둡시다.,우물은 오염될 수 있으니 마실 물은 미리 준비해 둡시다.,호우 홍수 홍수 우려 때는 호우/침수,자연재난 국민행동요령
76,호우/침수,홍수 우려 때는,잘 알지 못하는 지역이나 무릎 위로 물이 흐르는 지역에서는 걸어 다니지 말고 자동차를 운전하지 맙시다.,잘 알지 못하는 지역이나 무릎 위로 물이 흐르는 지역에서는 걸어 다니지 말고 자동차를 운전하지 맙시다.,호우 홍수 홍수 우려 때는 호우/침수,자연재난 국민행동요령
77,호우/침수,물이 빠진 후에는,재난발생지역에는 가까이 가지 맙시다.,재난발생지역에는 가까이 가지 맙시다.,호우 홍수 물이 빠진 후에는 호우/침수,자연재난 국민행동요령
78,호우/침수,물이 밀려들 때는,"지정된 대피소에 도착하면 반드시 도착사실을 알리고, 통제를 따라야 안전합니다.","지정된 대피소에 도착하면 반드시 도착사실을 알리고, 통제를 따라야 안전합니다.",호우 홍수 물이 밀려들 때는 호우/침수,자연재난 국민행동요령
79,호우/침수,물이 빠진 후에는,침수된 음식이나 재료는 식중독의 위험이 있으니 먹거나 요리재료로 사용하지 맙시다.,침수된 음식이나 재료는 식중독의 위험이 있으니 먹거나 요리재료로 사용하지 맙시다.,호우 홍수 물이 빠진 후에는 호우/침수,자연재난 국민행동요령
80,호우/침수,물이 밀려들 때는,침수된 지역에서 자동차를 운전하지 맙시다.,침수된 지역에서 자동차를 운전하지 맙시다.,호우 홍수 물이 밀려들 때는 호우/침수,자연재난 국민행동요령
81,호우/침수,홍수 예·경보시 대비요령,"침수주택은 가스·전기차단기가 내려가 있는지(off) 확인하고, 기술자의 안전조사가 끝난 후 사용합시다.","침수주택은 가스·전기차단기가 내려가 있는지(off) 확인하고, 기술자의 안전조사가 끝난 후 사용합시다.",호우 홍수 홍수 예·경보시 대비요령 호우/침수,자연재난 국민행동요령
82,호우/침수,홍수 우려 때는,피해가 예상되는 지역 주민은 대피 준비를 하고 물이 집안으로 흘러가는 것을 막기 위한 모래주머니나 튜브 등을 준비해둡시다.,피해가 예상되는 지역 주민은 대피 준비를 하고 물이 집안으로 흘러가는 것을 막기 위한 모래주머니나 튜브 등을 준비해둡시다.,호우 홍수 홍수 우려 때는 호우/침수,자연재난 국민행동요령
